Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	4.96447E-9	
Y (m)	6.49409E-9	
Z (m)	-173.056E-9	
Z offset (m)	0E+0	
Settling time (s)	800E-6	
Integration time (s)	6E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 6 (V)	Bias (V)	OC M1 Freq. Shift (Hz)	Current [bwd] (A)	Input 6 [bwd] (V)	Bias [bwd] (V)	OC M1 Freq. Shift [bwd] (Hz)
4.45400E-1	3.81387E-11	3.77179E-2	4.45400E-1	-2.24253E+1	4.75977E-11	3.87391E-2	4.45400E-1	-2.23003E+1
4.44750E-1	3.27962E-11	3.82387E-2	4.44750E-1	-2.23248E+1	4.92884E-11	3.78500E-2	4.44750E-1	-2.26521E+1
4.44100E-1	3.44172E-11	3.80175E-2	4.44100E-1	-2.23478E+1	4.35228E-11	3.63451E-2	4.44100E-1	-2.21002E+1
4.43450E-1	4.20350E-11	3.69029E-2	4.43450E-1	-2.25755E+1	3.70456E-11	3.52431E-2	4.43450E-1	-2.22900E+1
4.42800E-1	4.60642E-11	3.56593E-2	4.42800E-1	-2.22553E+1	3.69466E-11	3.52088E-2	4.42800E-1	-2.24244E+1
4.42150E-1	4.28023E-11	3.52072E-2	4.42150E-1	-2.24213E+1	4.38169E-11	3.57857E-2	4.42150E-1	-2.25151E+1
4.41500E-1	3.58683E-11	3.58339E-2	4.41500E-1	-2.26257E+1	4.90738E-11	3.60470E-2	4.41500E-1	-2.25758E+1
4.40850E-1	3.20708E-11	3.66795E-2	4.40850E-1	-2.23566E+1	4.78286E-11	3.55633E-2	4.40850E-1	-2.24346E+1
4.40200E-1	3.67168E-11	3.69376E-2	4.40200E-1	-2.23348E+1	4.06185E-11	3.47232E-2	4.40200E-1	-2.22623E+1
4.39550E-1	4.38088E-11	3.65219E-2	4.39550E-1	-2.21474E+1	3.49401E-11	3.40509E-2	4.39550E-1	-2.22625E+1
4.38900E-1	4.57065E-11	3.63582E-2	4.38900E-1	-2.22369E+1	3.78714E-11	3.39104E-2	4.38900E-1	-2.23492E+1
4.38250E-1	4.00269E-11	3.69057E-2	4.38250E-1	-2.23086E+1	4.50597E-11	3.41607E-2	4.38250E-1	-2.24079E+1
4.37600E-1	3.29128E-11	3.77654E-2	4.37600E-1	-2.23401E+1	4.86755E-11	3.39292E-2	4.37600E-1	-2.27659E+1
4.36950E-1	3.22197E-11	3.81081E-2	4.36950E-1	-2.21963E+1	4.43886E-11	3.33695E-2	4.36950E-1	-2.25821E+1
4.36300E-1	3.87930E-11	3.74395E-2	4.36300E-1	-2.22872E+1	3.69966E-11	3.27977E-2	4.36300E-1	-2.22975E+1
